B435,eB435,V606,eV606,I814,eI814,Y105,eY105,J125,eJ125,JH140,eJH140,H160,eH160,bright_mag,bright_magerr,stel,fwhm,area,zmax,label
99.0,28.4851,28.7423,0.5969,28.8091,0.8115,26.5694,0.1833,27.6161,0.3233,99.0,27.6984,26.0753,0.0772,26.1585,28.9065,0.45,0.891,2.0,9.978,spike
28.9562,0.918,99.0,29.2027,99.0,28.8025,28.1192,0.5624,26.7985,0.1406,27.9809,0.8438,27.0994,0.1647,26.96,28.9466,0.46,0.184,2.0,8.12,spike
99.0,28.4426,28.3715,0.4857,27.9363,0.4613,27.6953,0.4797,25.9683,0.0814,27.2815,0.6004,27.0229,0.1845,26.0564,28.7395,0.07,0.0,0.0,8.13,spike
99.0,28.857,30.764,1.6601,29.1768,0.853,26.5456,0.1445,26.8399,0.1273,26.3519,0.2243,26.4979,0.0868,26.5922,29.1976,0.0,0.52,22.0,6.64,not_spike
99.0,29.003,99.0,29.6299,27.5432,0.2076,27.3372,0.1872,27.298,0.1269,27.6154,0.4147,27.4131,0.1273,27.4417,29.5648,0.66,0.174,11.0,5.53,not_spike
99.0,29.148,28.7659,0.3827,99.0,29.313,27.5266,0.2535,27.9503,0.2486,28.608,0.9305,27.912,0.2231,27.8579,28.9767,0.36,0.0,0.0,6.65,not_spike
28.1232,0.5893,99.0,29.0326,29.3859,1.2013,26.7288,0.2274,27.5175,0.2996,27.7905,0.8415,25.8493,0.066,25.9196,28.8561,0.35,0.73,2.0,9.98,spike
99.0,29.0347,31.924,2.4794,99.0,29.1659,27.0518,0.1899,27.0058,0.1279,27.1591,0.3723,27.1756,0.1343,27.1508,29.2635,0.08,0.434,10.0,6.96,not_spike
99.0,29.6171,99.0,30.1284,99.0,29.6933,27.8275,0.2367,28.4317,0.2671,28.7017,0.7582,28.2476,0.2467,28.1306,29.361,0.39,0.358,4.0,6.53,not_spike
29.4661,0.6922,99.0,30.1248,99.0,29.7003,28.8516,0.5008,29.3653,0.5334,27.923,0.4362,28.2854,0.2102,28.5463,29.9613,0.35,0.0,0.0,6.244,not_spike
99.0,28.6545,33.2969,4.1249,26.8108,0.1682,26.2865,0.1376,26.2242,0.1184,26.9564,0.4293,26.3603,0.1028,26.3571,28.5706,0.0,0.872,28.0,5.62,not_spike
99.0,29.5304,99.0,30.0436,29.2226,0.5759,28.4985,0.6251,27.8606,0.2159,-99.0,0.0,27.327,0.1265,27.4702,29.5968,0.03,0.342,14.0,6.117,not_spike
99.0,29.8847,99.0,30.373,28.9406,0.3684,-99.0,0.0,28.0246,0.2359,-99.0,0.0,28.1932,0.3427,28.3263,29.5621,0.63,0.287,9.0,5.593,not_spike
99.0,29.2086,99.0,29.8028,28.8001,0.5017,28.1851,0.4639,27.6768,0.516,27.8961,0.5389,27.3835,0.2396,27.6915,28.902,0.0,0.552,17.0,5.688,not_spike
28.6935,0.423,99.0,30.0235,29.748,0.8268,31.5625,3.0552,25.8852,0.0828,-99.0,0.0,28.4931,0.4281,25.9748,28.6382,0.65,0.208,9.0,8.13,not_spike
29.0224,0.4896,99.0,30.193,99.0,29.6698,27.7253,0.3644,27.0298,0.3317,99.0,28.2456,26.7246,0.153,26.9027,28.7751,0.75,0.118,9.0,7.245,not_spike
32.0555,3.0667,99.0,29.6167,27.5925,0.2256,27.3843,0.2351,27.3058,0.1556,27.9766,0.6405,27.3061,0.1424,27.47,29.4396,0.31,0.26,5.0,5.28,not_spike
99.0,28.7784,99.0,29.3044,27.4094,0.253,26.7941,0.3343,26.2435,0.3571,27.8936,0.9851,26.46,0.2558,26.7792,27.2674,0.0,0.794,37.0,5.81,not_spike
99.0,28.2451,28.2964,0.5336,99.0,28.3769,26.1348,0.3427,26.2757,0.6449,25.8878,0.3973,25.0807,0.1436,25.2462,27.2045,0.0,0.927,73.0,7.35,not_spike
28.1623,0.5029,99.0,29.2986,28.1072,0.4233,27.458,0.5445,27.3607,0.7479,26.5839,0.3943,26.3447,0.2077,26.6018,28.0347,0.0,0.989,57.0,5.858,not_spike
28.7392,0.4609,99.0,29.9531,29.502,0.7385,29.9408,1.1591,27.58,0.1467,27.259,0.2945,27.7836,0.1598,27.6645,28.5249,0.51,0.238,5.0,8.21,not_spike
99.0,29.2683,99.0,29.776,99.0,29.3918,28.0241,0.5567,25.9024,0.1079,99.0,28.0293,27.4467,0.3086,26.0223,28.3544,0.0,0.533,21.0,8.12,spike
28.8179,0.8092,29.2426,0.7452,99.0,28.8587,27.8245,0.5298,26.1897,0.135,27.4021,0.5491,26.548,0.1592,26.3439,28.3852,0.0,0.7,13.0,8.14,spike
29.5181,1.1818,99.0,29.3651,99.0,28.9645,28.0178,0.5424,26.2356,0.1268,27.4991,0.5202,26.8881,0.1877,26.3792,28.5027,0.0,0.78,17.0,8.14,spike
99.0,28.4888,29.3437,0.9102,28.5506,0.7161,27.8286,0.6268,25.3056,0.0763,99.0,27.6342,25.7596,0.0981,25.3877,28.1505,0.0,1.007,43.0,8.14,spike
29.4184,1.5106,99.0,28.7581,27.8579,0.5422,28.3331,1.1362,24.287,0.0422,30.0582,2.9265,25.179,0.0821,24.3309,27.7927,0.0,1.228,94.0,8.2,spike
99.0,28.6517,28.367,0.4269,28.2482,0.5219,99.0,27.8088,24.9046,0.065,27.1843,0.6643,25.7923,0.119,24.9737,27.9294,0.0,1.124,68.0,8.21,spike
28.108,0.3147,99.0,29.7521,99.0,29.4011,28.4304,0.735,26.5135,0.1319,27.6263,0.5726,26.6747,0.1391,26.6636,28.7357,0.01,0.514,24.0,8.18,spike
28.381,0.9536,99.0,28.5578,27.476,0.4693,26.0846,0.3413,23.7423,0.0326,26.9482,0.9121,24.3845,0.0546,23.7759,27.533,0.0,1.385,214.0,8.053,spike
99.0,28.4775,29.5305,1.0258,99.0,28.6329,99.0,27.6033,24.5245,0.05,26.7038,0.5498,25.3068,0.0907,24.5769,27.8404,0.0,0.658,82.0,8.21,spike
29.9053,0.7882,99.0,30.3775,28.9099,0.3596,29.2618,0.911,26.8783,0.1058,30.8507,2.4065,27.9526,0.2489,26.9955,29.3534,0.7,0.316,9.0,8.13,spike
30.4099,1.1218,30.1584,0.696,29.714,0.7188,-99.0,0.0,26.7224,0.224,-99.0,0.0,25.9221,0.1424,26.086,28.0556,0.7,0.158,9.0,9.245,not_spike
28.994,0.5364,99.0,30.0107,27.9725,0.2227,27.7389,0.2318,28.0227,0.205,28.7626,0.8416,27.9666,0.1827,28.034,29.2976,0.07,0.332,6.0,5.5,not_spike
99.0,29.6129,31.6355,1.6704,99.0,29.7833,29.0626,0.5652,29.3872,0.5274,28.7001,0.7088,28.5484,0.2605,28.8918,29.9652,0.36,0.0,0.0,6.245,not_spike
99.0,29.6782,28.9331,0.3053,99.0,29.7452,-99.0,0.0,26.5987,0.1702,-99.0,0.0,26.1197,0.1549,26.3004,28.1556,0.8,0.166,7.0,8.782,not_spike
28.7586,0.7047,99.0,29.4152,28.5924,0.5609,27.1812,0.2325,26.74,0.1207,27.0124,0.3616,26.7066,0.124,26.8465,29.0001,0.0,0.35,19.0,6.07,not_spike
99.0,29.6905,99.0,30.2523,29.4147,0.6033,28.7941,0.4043,28.7006,0.2769,99.0,28.9796,28.9456,0.3121,29.0732,30.0426,0.35,0.0,0.0,5.245,not_spike
28.661,0.4581,31.4662,1.8245,99.0,29.4288,27.3969,0.3351,27.4131,0.1935,27.3558,0.4727,27.4094,0.1576,27.5939,29.4249,0.59,0.277,9.0,6.96,not_spike
